Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W);Nutzungsart;Bildschirmhelligkeit;Volume;Bluetooth;Microfon;Kamera ;Weitere Anwenundungen geöffnet
"16-11-22 15:52:00;0,063;4,90518;14,427;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:53:00;0,063;4,909464;14,4396;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:54:00;0,063;4,909464;14,4396;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:55:00;0,063;4,913748;14,4522;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:56:00;0,063;4,913748;14,4522;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:57:00;0,063;4,91589;14,4585;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:58:00;0,063;4,91589;14,4585;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 15:59:00;0,063;4,767147;14,4459;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 16:00:00;0,063;4,90518;14,427;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 16:01:00;0,063;4,90518;14,427;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 16:02:00;0,063;4,900896;14,4144;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 16:03:00;0,063;4,898754;14,4081;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
"16-11-22 16:04:00;0,063;5,189184;14,4144;Spotify;0,5;0,5;ein;Nutzung;Nutzung;keine"
